#unit	member	kind	digest
sge.vfx.VfxManager	sge.vfx.VfxManager	class	a548efce898c2fc4
sge.vfx.VfxManager	sge.vfx.VfxManager#<init>(Format,Sge)	ctor	d5c737a34ba6e2e4
sge.vfx.VfxManager	sge.vfx.VfxManager#<stmt1>	stmt	f9bed3014cab8220
sge.vfx.VfxManager	sge.vfx.VfxManager#<stmt2>	stmt	e7c3960eb8e49a62
sge.vfx.VfxManager	sge.vfx.VfxManager#<stmt3>	stmt	8adbe284e48c4608
sge.vfx.VfxManager	sge.vfx.VfxManager#<stmt4>	stmt	db91074cac39fe88
sge.vfx.VfxManager	sge.vfx.VfxManager#MAX_FRAME_BUFFER_SIDE	val	d518c2500232c9bd
sge.vfx.VfxManager	sge.vfx.VfxManager#addEffect(ChainVfxEffect)	def	7adc955723f4aa4e
sge.vfx.VfxManager	sge.vfx.VfxManager#addEffect(ChainVfxEffect,int)	def	1b71439ff779993b
sge.vfx.VfxManager	sge.vfx.VfxManager#anyEnabledEffects()	def	24d973126ca3b35a
sge.vfx.VfxManager	sge.vfx.VfxManager#applyEffects()	def	208d11c8d1fd3051
sge.vfx.VfxManager	sge.vfx.VfxManager#applyingEffects	val	0ef2803ed471bd82
sge.vfx.VfxManager	sge.vfx.VfxManager#applyingEffects()	def	7c7df46c1e8668c0
sge.vfx.VfxManager	sge.vfx.VfxManager#beginInputCapture()	def	038df53f92b80afd
sge.vfx.VfxManager	sge.vfx.VfxManager#blendingEnabled	val	efe2d5ab6d212654
sge.vfx.VfxManager	sge.vfx.VfxManager#blendingEnabled()	def	71e25137f56019f1
sge.vfx.VfxManager	sge.vfx.VfxManager#blendingEnabled_=(boolean)	def	5045a868c9d22302
sge.vfx.VfxManager	sge.vfx.VfxManager#capturing	val	dc12a3659e7caf96
sge.vfx.VfxManager	sge.vfx.VfxManager#capturing()	def	d1b5537bfa9e6278
sge.vfx.VfxManager	sge.vfx.VfxManager#cleanUpBuffers()	def	7900551e845bf6dd
sge.vfx.VfxManager	sge.vfx.VfxManager#cleanUpBuffers(Color)	def	107c8d687612a477
sge.vfx.VfxManager	sge.vfx.VfxManager#close()	def	9740df24bfd1d83b
sge.vfx.VfxManager	sge.vfx.VfxManager#constrainFrameBufferSize(int,int)	def	f8e633ac3bbce2cd
sge.vfx.VfxManager	sge.vfx.VfxManager#context	val	cf25d2e2c6c7f88e
sge.vfx.VfxManager	sge.vfx.VfxManager#disabled	val	4da61ef3d7efd0f3
sge.vfx.VfxManager	sge.vfx.VfxManager#disabled()	def	2ba9c757ded4576c
sge.vfx.VfxManager	sge.vfx.VfxManager#disabled_=(boolean)	def	7914d182c65498d3
sge.vfx.VfxManager	sge.vfx.VfxManager#effects	val	e90e9307ab923c32
sge.vfx.VfxManager	sge.vfx.VfxManager#endInputCapture()	def	2dcb69eba638c922
sge.vfx.VfxManager	sge.vfx.VfxManager#filterEnabledEffects(Array<ChainVfxEffect>)	def	096dd00becd1dfe6
sge.vfx.VfxManager	sge.vfx.VfxManager#height	val	a7e467b018f1c62a
sge.vfx.VfxManager	sge.vfx.VfxManager#height()	def	4efcb6a9616ee5ef
sge.vfx.VfxManager	sge.vfx.VfxManager#pingPongWrapper	val	25959c8f0d412af5
sge.vfx.VfxManager	sge.vfx.VfxManager#pingPongWrapper()	def	e57f941cadffb04a
