# balticporter port map	schema=3	module=vfx	engine=balticporter/0.1.0-SNAPSHOT	sources=9c70572f550ff922	files=44	policy=f378a1f95ab5c135
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	core.src.com.crashinvaders.vfx.VfxManager	sge.vfx.VfxManager	Renamed	-		0		companion=yes flags=final form=class parents=java.lang.AutoCloseable primary=(Format,int,int) primaryKind=unique-root primaryVis=public secondaries=(Format) statics=MAX_FRAME_BUFFER_SIDE,constrainFrameBufferSize,tmpVec
type	core.src.com.crashinvaders.vfx.VfxRenderContext	sge.vfx.VfxRenderContext	Renamed	-		0		form=class parents=java.lang.AutoCloseable primary=(Format,int,int) primaryKind=unique-root primaryVis=public
type	core.src.com.crashinvaders.vfx.effects.AbstractVfxEffect	sge.vfx.effects.AbstractVfxEffect	Renamed	-		0		flags=abstract form=class parents=sge.vfx.effects.VfxEffect primary=() primaryKind=unique-root primaryVis=public
type	effects.src.com.crashinvaders.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.CompositeVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(Settings) primaryKind=unique-root primaryVis=public secondaries=() statics=Settings
type	com.crashinvaders.vfx.effects.BloomEffect$Settings	sge.vfx.effects.BloomEffect$Settings	Renamed	-		0		form=class primary=() primaryKind=not-funnelled primaryVis=public secondaries=(int,float,float,float,float,float);(BlurType,int,float,float,float,float,float,float);(Settings)
type	core.src.com.crashinvaders.vfx.effects.ChainVfxEffect	sge.vfx.effects.ChainVfxEffect	Renamed	-		0		form=trait parents=sge.vfx.effects.VfxEffect
type	effects.src.com.crashinvaders.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(int) primaryKind=unique-root primaryVis=public statics=U_MAX_DISTORTION,U_TEXTURE0
type	core.src.com.crashinvaders.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect	Renamed	-		0		flags=abstract form=class parents=sge.vfx.effects.AbstractVfxEffect primary=() primaryKind=unique-root primaryVis=public
type	effects.src.com.crashinvaders.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(LineStyle,float,float) primaryKind=unique-root primaryVis=public secondaries=() statics=LineStyle,SizeSource,U_RESOLUTION,U_TEXTURE0,tmpVec
type	com.crashinvaders.vfx.effects.CrtEffect$LineStyle	sge.vfx.effects.CrtEffect$LineStyle	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.crashinvaders.vfx.effects.CrtEffect$SizeSource	sge.vfx.effects.CrtEffect$SizeSource	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	effects.src.com.crashinvaders.vfx.effects.FilmGrainEffect	sge.vfx.effects.FilmGrainEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_NOISE_AMOUNT,U_SEED,U_TEXTURE0
type	effects.src.com.crashinvaders.vfx.effects.FisheyeEffect	sge.vfx.effects.FisheyeEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_TEXTURE0
type	effects.src.com.crashinvaders.vfx.effects.FxaaEffect	sge.vfx.effects.FxaaEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(float,float,float,boolean) primaryKind=unique-root primaryVis=public secondaries=() statics=U_FXAA_REDUCE_MIN,U_FXAA_REDUCE_MUL,U_FXAA_SPAN_MAX,U_TEXTURE0,U_VIEWPORT_INVERSE
type	effects.src.com.crashinvaders.vfx.effects.GaussianBlurEffect	sge.vfx.effects.GaussianBlurEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.AbstractVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(BlurType) primaryKind=unique-root primaryVis=public secondaries=() statics=BlurType,Convolve1DEffect,Convolve2DEffect,Tap
type	com.crashinvaders.vfx.effects.GaussianBlurEffect$BlurType	sge.vfx.effects.GaussianBlurEffect$BlurType	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=(Tap) primaryKind=not-funnelled primaryVis=public
type	com.crashinvaders.vfx.effects.GaussianBlurEffect$Convolve1DEffect	sge.vfx.effects.GaussianBlurEffect$Convolve1DEffect	Renamed	-		0		companion=yes flags=final form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(int,float[],float[]) primaryKind=unique-root primaryVis=public secondaries=(int);(int,float[]) statics=U_SAMPLE_OFFSETS,U_SAMPLE_WEIGHTS,U_TEXTURE
type	com.crashinvaders.vfx.effects.GaussianBlurEffect$Convolve2DEffect	sge.vfx.effects.GaussianBlurEffect$Convolve2DEffect	Renamed	-		0		flags=final form=class parents=sge.vfx.effects.CompositeVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(int) primaryKind=unique-root primaryVis=public
type	com.crashinvaders.vfx.effects.GaussianBlurEffect$Tap	sge.vfx.effects.GaussianBlurEffect$Tap	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=(int) primaryKind=not-funnelled primaryVis=public
type	effects.src.com.crashinvaders.vfx.effects.LensFlareEffect	sge.vfx.effects.LensFlareEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_COLOR,U_INTENSITY,U_LIGHT_POSITION,U_TEXTURE0,U_VIEWPORT
type	effects.src.com.crashinvaders.vfx.effects.LevelsEffect	sge.vfx.effects.LevelsEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=Brightness,Contrast,Gamma,Hue,Saturation,Texture
type	effects.src.com.crashinvaders.vfx.effects.MotionBlurEffect	sge.vfx.effects.MotionBlurEffect	Renamed	-		0		form=class parents=sge.vfx.effects.CompositeVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(Format,Method,float) primaryKind=unique-root primaryVis=public
type	core.src.com.crashinvaders.vfx.effects.MultipassEffectWrapper	sge.vfx.effects.MultipassEffectWrapper	Renamed	-		0		form=class parents=sge.vfx.effects.AbstractVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(ChainVfxEffect) primaryKind=unique-root primaryVis=public
type	effects.src.com.crashinvaders.vfx.effects.NfaaEffect	sge.vfx.effects.NfaaEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(boolean) primaryKind=unique-root primaryVis=public statics=U_TEXTURE0,U_VIEWPORT_INVERSE
type	effects.src.com.crashinvaders.vfx.effects.OldTvEffect	sge.vfx.effects.OldTvEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=Resolution,Texture0,Time
type	effects.src.com.crashinvaders.vfx.effects.RadialBlurEffect	sge.vfx.effects.RadialBlurEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(int) primaryKind=unique-root primaryVis=public statics=U_BLUR_DIV,U_OFFSET_X,U_OFFSET_Y,U_TEXTURE,U_ZOOM
type	effects.src.com.crashinvaders.vfx.effects.RadialDistortionEffect	sge.vfx.effects.RadialDistortionEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_DISTORTION,U_TEXTURE0,U_ZOOM
type	core.src.com.crashinvaders.vfx.effects.ShaderVfxEffect	sge.vfx.effects.ShaderVfxEffect	Renamed	-		0		companion=yes flags=abstract form=class parents=sge.vfx.effects.AbstractVfxEffect primary=(ShaderProgram) primaryKind=unique-root primaryVis=public statics=TEXTURE_HANDLE0,TEXTURE_HANDLE1,TEXTURE_HANDLE2,TEXTURE_HANDLE3,TEXTURE_HANDLE4,TEXTURE_HANDLE5,TEXTURE_HANDLE6,TEXTURE_HANDLE7
type	core.src.com.crashinvaders.vfx.effects.VfxEffect	sge.vfx.effects.VfxEffect	Renamed	-		0		form=trait parents=java.lang.AutoCloseable
type	effects.src.com.crashinvaders.vfx.effects.VignettingEffect	sge.vfx.effects.VignettingEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(boolean) primaryKind=unique-root primaryVis=public statics=CENTER_X,CENTER_Y,SATURATION,SATURATION_MUL,TEXTURE0,VIGNETTE_INTENSITY,VIGNETTE_X,VIGNETTE_Y
type	effects.src.com.crashinvaders.vfx.effects.WaterDistortionEffect	sge.vfx.effects.WaterDistortionEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(float,float) primaryKind=unique-root primaryVis=public statics=U_AMOUNT,U_SPEED,U_TEXTURE0,U_TIME
type	effects.src.com.crashinvaders.vfx.effects.ZoomEffect	sge.vfx.effects.ZoomEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_OFFSET_X,U_OFFSET_Y,U_TEXTURE0,U_ZOOM
type	effects.src.com.crashinvaders.vfx.effects.util.CombineEffect	sge.vfx.effects.util.CombineEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_SOURCE0_INTENSITY,U_SOURCE0_SATURATION,U_SOURCE1_INTENSITY,U_SOURCE1_SATURATION,U_TEXTURE0,U_TEXTURE1
type	effects.src.com.crashinvaders.vfx.effects.util.CopyEffect	sge.vfx.effects.util.CopyEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=() primaryKind=unique-root primaryVis=public statics=U_TEXTURE0
type	effects.src.com.crashinvaders.vfx.effects.util.GammaThresholdEffect	sge.vfx.effects.util.GammaThresholdEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect,sge.vfx.effects.ChainVfxEffect primary=(Type) primaryKind=unique-root primaryVis=public statics=Type,U_TEXTURE0,U_THRESHOLD,U_THRESHOLD_INV
type	com.crashinvaders.vfx.effects.util.GammaThresholdEffect$Type	sge.vfx.effects.util.GammaThresholdEffect$Type	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	effects.src.com.crashinvaders.vfx.effects.util.MixEffect	sge.vfx.effects.util.MixEffect	Renamed	-		0		companion=yes form=class parents=sge.vfx.effects.ShaderVfxEffect primary=(Method) primaryKind=unique-root primaryVis=public statics=Method,U_MIX,U_TEXTURE0,U_TEXTURE1
type	com.crashinvaders.vfx.effects.util.MixEffect$Method	sge.vfx.effects.util.MixEffect$Method	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	core.src.com.crashinvaders.vfx.framebuffer.VfxFrameBuffer	sge.vfx.framebuffer.VfxFrameBuffer	Renamed	-		0		companion=yes form=class parents=java.lang.AutoCloseable primary=(Format) primaryKind=unique-root primaryVis=public statics=BatchRendererAdapter,Renderer,RendererAdapter,RendererManager,ShapeRendererAdapter,bufferNesting,getBufferNesting,tmpCam,zeroTransform
