#check	count
api-parity(accessor)	60
api-parity(collection-retarget)	0
api-parity(factory)	0
api-parity(file-merge)	0
api-parity(hand-original)	0
api-parity(hand-port-extra)	451
api-parity(mutability)	16
api-parity(null-model)	115
api-parity(opaque)	20
api-parity(operator)	0
api-parity(port-extra)	771
api-parity(rename)	0
api-parity(rule)	25
api-parity(signature)	164
api-parity(static-placement)	23
api-parity(unclassified)	0
api-parity(visibility)	143
base-surface	20
break-catch	0
cast-conversion	0
catalog(consulted)	105
catalog(uncited)	124
catalog(undischarged)	4
catalog(unmechanised)	1
catalog(unreached)	11
class-init-trigger	0
collection-boundary	2
collection-closure	0
collection-internal	0
collection-retarget	56
context-seam	39
dependency-coverage	10
dependency-coverage(all)	47
dependency-coverage(declared)	0
gdx-shared-iterator	0
heap-pollution	1
idiom(converted)	394
idiom(refused)	734
idiom(residue)	0
jdk-surface	3
manifest	0
markers	0
nullability-boundary	2
omissions	47
opaque-boundary	0
overload-risk	289
policy	2
port-map	0
portability(all)	200
portability(emitted)	47
portability(injected)	0
porter-notes	0
remediation	13
resources	22
rewrite-callsites	1
signature	10
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	1
try-resource	0
unused-symbol(handled)	28
unused-symbol(refused)	0
upstream	VisUI@820300c86a1bd907404217195a9987e5c66d2220
