#id	check	kind	owner	path	line	detail
38ba5b5de0e8	api-parity(accessor)	accessor	Alignment#alignment	/Alignment	0	val alignment/0 in reference port only
5606774c2d50	api-parity(accessor)	accessor	Alignment#getAlignment	/Alignment	0	def getAlignment/0 in emitted port only
96f9fb51c104	api-parity(accessor)	accessor	BundleText#getName	/BundleText	0	def getName/0 in emitted port only
778a4653061f	api-parity(accessor)	accessor	BusyBar#getPrefHeight	/BusyBar	0	def getPrefHeight/0 in emitted port only
c4e8729d7ca7	api-parity(accessor)	accessor	BusyBar#getPrefWidth	/BusyBar	0	def getPrefWidth/0 in emitted port only
a614c5c5ec40	api-parity(accessor)	accessor	ButtonBar$.ButtonType#getId	/ButtonBar$/ButtonType	0	def getId/0 in emitted port only
c1d576468e99	api-parity(accessor)	accessor	ButtonBar$.ButtonType#getText	/ButtonBar$/ButtonType	0	def getText/0 in emitted port only
ee9cff11fdb0	api-parity(accessor)	accessor	ButtonBar$.ButtonType#id	/ButtonBar$/ButtonType	0	val id/0 in reference port only
8dde91924b96	api-parity(accessor)	accessor	ChannelBar#setChannelBarListener	/ChannelBar	0	def setChannelBarListener/1 in emitted port only
c44b7efe9b12	api-parity(accessor)	accessor	CollapsibleWidget#getPrefHeight	/CollapsibleWidget	0	def getPrefHeight/0 in emitted port only
726ff8683795	api-parity(accessor)	accessor	CollapsibleWidget#getPrefWidth	/CollapsibleWidget	0	def getPrefWidth/0 in emitted port only
1467567f7a20	api-parity(accessor)	accessor	ColorPicker#setCloseAfterPickingFinished	/ColorPicker	0	def setCloseAfterPickingFinished/1 in emitted port only
eec420828348	api-parity(accessor)	accessor	ColorPickerText#getName	/ColorPickerText	0	def getName/0 in emitted port only
ff91db7ee580	api-parity(accessor)	accessor	FileChooser$#saveLastDirectory	/FileChooser$	0	var saveLastDirectory/0 in reference port only
4a4f8838bb2a	api-parity(accessor)	accessor	FileChooser$.ViewMode#bundleText	/FileChooser$/ViewMode	0	val bundleText/0 in reference port only
6c44194a42c3	api-parity(accessor)	accessor	FileChooser$.ViewMode#thumbnailMode	/FileChooser$/ViewMode	0	val thumbnailMode/0 in reference port only
7c3eecc4a994	api-parity(accessor)	accessor	FileChooserText#getName	/FileChooserText	0	def getName/0 in emitted port only
16dd906d8afe	api-parity(accessor)	accessor	FloatingGroup#getPrefHeight	/FloatingGroup	0	def getPrefHeight/0 in emitted port only
d470bf5ecdf4	api-parity(accessor)	accessor	FloatingGroup#getPrefWidth	/FloatingGroup	0	def getPrefWidth/0 in emitted port only
8f3e54fdce0a	api-parity(accessor)	accessor	FlowGroup#getMinHeight	/FlowGroup	0	def getMinHeight/0 in emitted port only
4a733503b38a	api-parity(accessor)	accessor	FlowGroup#getMinWidth	/FlowGroup	0	def getMinWidth/0 in emitted port only
8d0e42d4f0a2	api-parity(accessor)	accessor	FlowGroup#getPrefHeight	/FlowGroup	0	def getPrefHeight/0 in emitted port only
34b678a8f85d	api-parity(accessor)	accessor	FlowGroup#getPrefWidth	/FlowGroup	0	def getPrefWidth/0 in emitted port only
e38d70924f7e	api-parity(accessor)	accessor	FormValidator$.FileExistsValidator#setErrorIfRelativeEmpty	/FormValidator$/FileExistsValidator	0	def setErrorIfRelativeEmpty/1 in emitted port only
8226fac10d7e	api-parity(accessor)	accessor	FormValidator$.FileExistsValidator#setMustNotExist	/FormValidator$/FileExistsValidator	0	def setMustNotExist/1 in emitted port only
a906ba340f34	api-parity(accessor)	accessor	FormValidator$.FileExistsValidator#setRelativeToFile	/FormValidator$/FileExistsValidator	0	def setRelativeToFile/1 in emitted port only
7b4c2a48646c	api-parity(accessor)	accessor	GridGroup#getPrefHeight	/GridGroup	0	def getPrefHeight/0 in emitted port only
ca4261f89745	api-parity(accessor)	accessor	GridGroup#getPrefWidth	/GridGroup	0	def getPrefWidth/0 in emitted port only
05bc6d536f80	api-parity(accessor)	accessor	HighlightTextArea#getPrefHeight	/HighlightTextArea	0	def getPrefHeight/0 in emitted port only
82d748e3b164	api-parity(accessor)	accessor	HighlightTextArea#getPrefWidth	/HighlightTextArea	0	def getPrefWidth/0 in emitted port only
738f00e73026	api-parity(accessor)	accessor	HorizontalCollapsibleWidget#getPrefHeight	/HorizontalCollapsibleWidget	0	def getPrefHeight/0 in emitted port only
81066ea15b4f	api-parity(accessor)	accessor	HorizontalCollapsibleWidget#getPrefWidth	/HorizontalCollapsibleWidget	0	def getPrefWidth/0 in emitted port only
3bbeffff1c05	api-parity(accessor)	accessor	IconStack#getMaxHeight	/IconStack	0	def getMaxHeight/0 in emitted port only
149f4b2f31a5	api-parity(accessor)	accessor	IconStack#getMaxWidth	/IconStack	0	def getMaxWidth/0 in emitted port only
