#unit	member	kind	digest
sge.visui.FocusManager	sge.visui.FocusManager	class	b2d60dbd740a3266
sge.visui.FocusManager	sge.visui.FocusManager#focusedWidget	val	eca57f14ad9ac44c
sge.visui.FocusManager	sge.visui.FocusManager#getFocusedWidget()	def	91de7a3be8d04f19
sge.visui.FocusManager	sge.visui.FocusManager#resetFocus(Stage)	def	eac2298e56a9129b
sge.visui.FocusManager	sge.visui.FocusManager#resetFocus(Stage,Actor)	def	e32b146b7e70bc99
sge.visui.FocusManager	sge.visui.FocusManager#switchFocus(Stage,Focusable)	def	6661a41562f91c66
sge.visui.Focusable	sge.visui.Focusable	class	35e23d179e51927d
sge.visui.Focusable	sge.visui.Focusable#focusGained()	def	2d81d06d75811ad8
sge.visui.Focusable	sge.visui.Focusable#focusLost()	def	6fe74e8112a562d9
sge.visui.Locales	sge.Sge#<given-static>	val	5c777f5d4e74fb4b
sge.visui.Locales	sge.Sge#<given>	val	5c777f5d4e74fb4b
sge.visui.Locales	sge.visui.Locales	class	578b5bdfb06d9b17
sge.visui.Locales	sge.visui.Locales#buttonBarBundle	val	857eaafb6b3c4155
sge.visui.Locales	sge.visui.Locales#colorPickerBundle	val	b5aeaa3c99392d97
sge.visui.Locales	sge.visui.Locales#commonBundle	val	84f7c556206d359b
sge.visui.Locales	sge.visui.Locales#dialogsBundle	val	950414778a4016fd
sge.visui.Locales	sge.visui.Locales#fileChooserBundle	val	a49ff12a4ed15e61
sge.visui.Locales	sge.visui.Locales#getBundle(String,Sge)	def	d1f1346dcf03733d
sge.visui.Locales	sge.visui.Locales#getButtonBarBundle(Sge)	def	776d5ec31337ebcc
sge.visui.Locales	sge.visui.Locales#getColorPickerBundle(Sge)	def	52875bcd2dc471ac
sge.visui.Locales	sge.visui.Locales#getCommonBundle(Sge)	def	c0d423b5ccfe83c0
sge.visui.Locales	sge.visui.Locales#getDialogsBundle(Sge)	def	6174ce687556e230
sge.visui.Locales	sge.visui.Locales#getFileChooserBundle(Sge)	def	0778786e5281727a
sge.visui.Locales	sge.visui.Locales#getTabbedPaneBundle(Sge)	def	4f5f836cc1c4d17b
sge.visui.Locales	sge.visui.Locales#locale	val	218a961f5ace828f
sge.visui.Locales	sge.visui.Locales#setButtonBarBundle(I18NBundle)	def	fc0f398703c7779e
sge.visui.Locales	sge.visui.Locales#setColorPickerBundle(I18NBundle)	def	a2738ee10ad0b7a4
sge.visui.Locales	sge.visui.Locales#setCommonBundle(I18NBundle)	def	3c9fd90860d3f356
sge.visui.Locales	sge.visui.Locales#setDialogsBundle(I18NBundle)	def	363debbb115c65a2
sge.visui.Locales	sge.visui.Locales#setFileChooserBundle(I18NBundle)	def	44457558d7a2df75
sge.visui.Locales	sge.visui.Locales#setLocale(Locale)	def	5f7aa662995fb835
sge.visui.Locales	sge.visui.Locales#setTabbedPaneBundle(I18NBundle)	def	ae0cb541bb00a61d
sge.visui.Locales	sge.visui.Locales#tabbedPaneBundle	val	0b6e650155fbdef0
sge.visui.Locales	sge.visui.Locales$CommonText	class	d4ba302a11cdec98
sge.visui.Locales	sge.visui.Locales$CommonText#format()	def	91c67c37eef4be3b
sge.visui.Locales	sge.visui.Locales$CommonText#format(Array<Object>)	def	b3039b8474b97933
sge.visui.Locales	sge.visui.Locales$CommonText#get()	def	e64e79762867cd21
sge.visui.Locales	sge.visui.Locales$CommonText#getBundle(Sge)	def	d0e3b7f4b194bfc7
sge.visui.Locales	sge.visui.Locales$CommonText#getName()	def	cc0d42c39c579d84
sge.visui.Locales	sge.visui.Locales$CommonText#toString()	def	2ce080f9e62bea25
sge.visui.Sizes	sge.visui.Sizes	class	dd21033fe83765b8
sge.visui.Sizes	sge.visui.Sizes#<init>()	ctor	26c80eab1e3f404e
sge.visui.Sizes	sge.visui.Sizes#<init>(Sizes)	ctor	5cd6e82aa77d3cf1
sge.visui.Sizes	sge.visui.Sizes#borderSize	val	2f0b81030b8b478a
sge.visui.Sizes	sge.visui.Sizes#buttonBarSpacing	val	6f4ef942d5885d16
sge.visui.Sizes	sge.visui.Sizes#fileChooserViewModeBigIconsSize	val	30c7fa95f816f8fd
sge.visui.Sizes	sge.visui.Sizes#fileChooserViewModeListWidthSize	val	76ee369da1eedad1
sge.visui.Sizes	sge.visui.Sizes#fileChooserViewModeMediumIconsSize	val	90430148f5796311
sge.visui.Sizes	sge.visui.Sizes#fileChooserViewModeSmallIconsSize	val	0720cedae509bc61
sge.visui.Sizes	sge.visui.Sizes#menuItemIconSize	val	ead999fe1d9c4b62
sge.visui.Sizes	sge.visui.Sizes#scaleFactor	val	0fb2b8b4a56a53ad
sge.visui.Sizes	sge.visui.Sizes#spacingBottom	val	4dd74b29ac7ce6d0
sge.visui.Sizes	sge.visui.Sizes#spacingLeft	val	e68e4b199ae50fe3
sge.visui.Sizes	sge.visui.Sizes#spacingRight	val	77bb96b0074152b3
sge.visui.Sizes	sge.visui.Sizes#spacingTop	val	223de08f0ed75041
sge.visui.Sizes	sge.visui.Sizes#spinnerButtonHeight	val	2fe0ff470d26e045
sge.visui.Sizes	sge.visui.Sizes#spinnerFieldSize	val	0883a3b3d01aa678
sge.visui.VisUI	sge.Sge#<given>	val	5c777f5d4e74fb4b
sge.visui.VisUI	sge.visui.VisUI	class	a99e528a525ce3e0
sge.visui.VisUI	sge.visui.VisUI#TARGET_GDX_VERSION	val	905a6a553c096d4f
sge.visui.VisUI	sge.visui.VisUI#checkBeforeLoad(Sge)	def	2fb53284cc199673
sge.visui.VisUI	sge.visui.VisUI#defaultTitleAlign	val	0eea9847db747ce5
sge.visui.VisUI	sge.visui.VisUI#dispose()	def	4f857d9f19598170
sge.visui.VisUI	sge.visui.VisUI#dispose(boolean)	def	8403d4fcb2f32ce9
sge.visui.VisUI	sge.visui.VisUI#getDefaultTitleAlign()	def	29345445abf327d2
sge.visui.VisUI	sge.visui.VisUI#getSizes()	def	944aacdb97380532
sge.visui.VisUI	sge.visui.VisUI#getSkin()	def	eab602abf389bb22
sge.visui.VisUI	sge.visui.VisUI#isLoaded()	def	e7ef66f5a85993f1
sge.visui.VisUI	sge.visui.VisUI#load(FileHandle,Sge)	def	020efef0d0724654
sge.visui.VisUI	sge.visui.VisUI#load(Sge)	def	cf3fd66168e65fdb
sge.visui.VisUI	sge.visui.VisUI#load(Skin,Sge)	def	ebe8d7ea9ae07a2f
sge.visui.VisUI	sge.visui.VisUI#load(SkinScale,Sge)	def	89c41e2658218963
sge.visui.VisUI	sge.visui.VisUI#load(String,Sge)	def	e21296407eb76518
sge.visui.VisUI	sge.visui.VisUI#scale	val	2b6c16b3f7019ee0
sge.visui.VisUI	sge.visui.VisUI#setDefaultTitleAlign(Align)	def	bfdc955759f4d692
sge.visui.VisUI	sge.visui.VisUI#setSkipGdxVersionCheck(boolean)	def	7012c921472d110f
sge.visui.VisUI	sge.visui.VisUI#sgeInstance$cache	val	429601e805235fc2
sge.visui.VisUI	sge.visui.VisUI#sgeInstance()	def	45da18325dd15587
sge.visui.VisUI	sge.visui.VisUI#skin	val	e47f7639f84b51da
sge.visui.VisUI	sge.visui.VisUI#skipGdxVersionCheck	val	e83d3ff314a892e7
sge.visui.VisUI	sge.visui.VisUI$SkinScale	class	ee80c8f67e400cb6
sge.visui.VisUI	sge.visui.VisUI$SkinScale#getSizesName()	def	3c7561597351f761
sge.visui.VisUI	sge.visui.VisUI$SkinScale#getSkinFile()	def	db0a7c78c2bc56b4
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder	class	481f7baf68070abe
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder#<init>(Padding,Sge)	ctor	b53743db285edfe3
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder#<init>(int,int,Padding,Sge)	ctor	a774002d43e21315
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder#<init>(int,int,Sge)	ctor	6d8e3c598d0e2243
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder#fillTable(Table)	def	5328c23c39386592
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder#isLast(int,int,int)	def	4d3d786eae259799
sge.visui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder#shouldExpand(int)	def	df58bb43a94edb88
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder	class	bcdc711c58e27b77
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder#<init>(Padding,int,Sge)	ctor	c0db5ea1280542e8
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder#<init>(int,Sge)	ctor	50939c0970c4bcd3
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder#<init>(int,int,int,Padding,Sge)	ctor	b986e1da38d4a433
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder#<init>(int,int,int,Sge)	ctor	147d4f0c973d896e
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder#fillTable(Table)	def	5c7e3feddd27f1e6
sge.visui.building.GridTableBuilder	sge.visui.building.GridTableBuilder#rowSize	val	c84d0a25f67fe1d9
sge.visui.building.OneColumnTableBuilder	sge.visui.building.OneColumnTableBuilder	class	1571bf1dbb2745cc
sge.visui.building.OneColumnTableBuilder	sge.visui.building.OneColumnTableBuilder#<init>(Padding,Sge)	ctor	b53743db285edfe3
sge.visui.building.OneColumnTableBuilder	sge.visui.building.OneColumnTableBuilder#<init>(int,int,Padding,Sge)	ctor	a774002d43e21315
sge.visui.building.OneColumnTableBuilder	sge.visui.building.OneColumnTableBuilder#<init>(int,int,Sge)	ctor	6d8e3c598d0e2243
sge.visui.building.OneColumnTableBuilder	sge.visui.building.OneColumnTableBuilder#fillTable(Table)	def	7f1fd075a12c718e
sge.visui.building.OneRowTableBuilder	sge.visui.building.OneRowTableBuilder	class	b80fa66034256d08
sge.visui.building.OneRowTableBuilder	sge.visui.building.OneRowTableBuilder#<init>(Padding,Sge)	ctor	b53743db285edfe3
sge.visui.building.OneRowTableBuilder	sge.visui.building.OneRowTableBuilder#<init>(int,int,Padding,Sge)	ctor	a774002d43e21315
sge.visui.building.OneRowTableBuilder	sge.visui.building.OneRowTableBuilder#<init>(int,int,Sge)	ctor	6d8e3c598d0e2243
sge.visui.building.OneRowTableBuilder	sge.visui.building.OneRowTableBuilder#fillTable(Table)	def	ad0237e3589338a3
sge.visui.building.StandardTableBuilder	sge.visui.building.StandardTableBuilder	class	3aef69c44e52dec4
sge.visui.building.StandardTableBuilder	sge.visui.building.StandardTableBuilder#<init>(Padding,Sge)	ctor	b53743db285edfe3
sge.visui.building.StandardTableBuilder	sge.visui.building.StandardTableBuilder#<init>(int,int,Padding,Sge)	ctor	a774002d43e21315
sge.visui.building.StandardTableBuilder	sge.visui.building.StandardTableBuilder#<init>(int,int,Sge)	ctor	6d8e3c598d0e2243
sge.visui.building.StandardTableBuilder	sge.visui.building.StandardTableBuilder#fillTable(Table)	def	7cf156c333fd0654
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder	class	a10a3c7b00f87a27
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#<init>(Padding,Sge)	ctor	1017e46f30256dcc
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#<init>(int,int,Padding,Sge)	ctor	a774002d43e21315
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#<init>(int,int,Sge)	ctor	76960d547f7ef8be
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#<stmt1>	stmt	2a385d2e63cad392
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#<stmt2>	stmt	c03e13881d119a11
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#<stmt3>	stmt	3e05ff4d03a6b079
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#DEFAULT_ROWS_AMOUNT	val	4a9a0c2810a32a5a
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#DEFAULT_WIDGETS_AMOUNT	val	4aace61561fb9dfb
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#append()	def	95b15d770c8daa22
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#append(Actor)	def	164f0badbe6bff97
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#append(ActorLayout,Array<Actor>)	def	eb88f6ff0e90005d
sge.visui.building.TableBuilder	sge.visui.building.TableBuilder#append(ActorLayout,Array<CellWidget<?>>)	def	ca5c58ca69cf3025
