# balticporter port map	schema=3	module=sge-visui	engine=balticporter/0.1.0-SNAPSHOT	sources=7a29c946918c2898	files=162	policy=4302d8c9cddd8bb2
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.kotcrab.vis.ui.FocusManager	sge.visui.FocusManager	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.Focusable	sge.visui.Focusable	Renamed	-		0		form=trait
type	com.kotcrab.vis.ui.Locales	sge.visui.Locales	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.Locales$CommonText	sge.visui.Locales$CommonText	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum,sge.visui.i18n.BundleText primary=(String) primaryKind=not-funnelled primaryVis=public statics=,getBundle
type	com.kotcrab.vis.ui.Sizes	sge.visui.Sizes	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(Sizes)
type	com.kotcrab.vis.ui.VisUI	sge.visui.VisUI	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.VisUI$SkinScale	sge.visui.VisUI$SkinScale	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=(String,String) primaryKind=not-funnelled primaryVis=public
type	com.kotcrab.vis.ui.building.CenteredTableBuilder	sge.visui.building.CenteredTableBuilder	Renamed	-		0		companion=yes form=class parents=sge.visui.building.TableBuilder primary=() primaryKind=no-arg-root primaryVis=public secondaries=(Padding);(int,int);(int,int,Padding)
type	com.kotcrab.vis.ui.building.GridTableBuilder	sge.visui.building.GridTableBuilder	Renamed	-		0		companion=yes form=class parents=sge.visui.building.TableBuilder primary=() primaryKind=not-funnelled primaryVis=public secondaries=(int);(Padding,int);(int,int,int);(int,int,int,Padding)
type	com.kotcrab.vis.ui.building.OneColumnTableBuilder	sge.visui.building.OneColumnTableBuilder	Renamed	-		0		companion=yes form=class parents=sge.visui.building.TableBuilder primary=() primaryKind=no-arg-root primaryVis=public secondaries=(Padding);(int,int);(int,int,Padding)
type	com.kotcrab.vis.ui.building.OneRowTableBuilder	sge.visui.building.OneRowTableBuilder	Renamed	-		0		companion=yes form=class parents=sge.visui.building.TableBuilder primary=() primaryKind=no-arg-root primaryVis=public secondaries=(Padding);(int,int);(int,int,Padding)
type	com.kotcrab.vis.ui.building.StandardTableBuilder	sge.visui.building.StandardTableBuilder	Renamed	-		0		companion=yes form=class parents=sge.visui.building.TableBuilder primary=() primaryKind=no-arg-root primaryVis=public secondaries=(Padding);(int,int);(int,int,Padding)
type	com.kotcrab.vis.ui.building.TableBuilder	sge.visui.building.TableBuilder	Renamed	-		0		companion=yes flags=abstract form=class primary=() primaryKind=unique-root primaryVis=public secondaries=(Padding);(int,int);(int,int,Padding) statics=DEFAULT_ROWS_AMOUNT,DEFAULT_WIDGETS_AMOUNT,getGreatestCommonDenominator,getLowestCommonMultiple
type	com.kotcrab.vis.ui.building.utilities.Alignment	sge.visui.building.utilities.Alignment	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=(int) primaryKind=not-funnelled primaryVis=public statics=getByIndex,getByValidIndex,isIndexLast,isIndexValid
type	com.kotcrab.vis.ui.building.utilities.CellWidget	sge.visui.building.utilities.CellWidget	Renamed	-		0		companion=yes form=class primary=(CellWidgetBuilder) primaryKind=unique-root primaryVis=private statics=CellWidgetBuilder,EMPTY,IGNORED_SIZE,`using`,builder,empty,of,wrap tparams="[Widget <: sge.scenes.scene2d.Actor]"
type	com.kotcrab.vis.ui.building.utilities.CellWidget$CellWidgetBuilder	sge.visui.building.utilities.CellWidget$CellWidgetBuilder	Renamed	-		0		form=class primary=() primaryKind=not-funnelled primaryVis=public secondaries=(Actor);(CellWidget) tparams="[Widget <: sge.scenes.scene2d.Actor]"
type	com.kotcrab.vis.ui.building.utilities.Nullables	sge.visui.building.utilities.Nullables	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=private
type	com.kotcrab.vis.ui.building.utilities.Padding	sge.visui.building.utilities.Padding	Renamed	-		0		companion=yes form=class primary=(float,float,float,float) primaryKind=unique-root primaryVis=public secondaries=(float);(float,float) statics=PAD_0,PAD_2,PAD_4,PAD_8,of,setPadding,setSpacing
type	com.kotcrab.vis.ui.building.utilities.layouts.ActorLayout	sge.visui.building.utilities.layouts.ActorLayout	Renamed	-		0		form=trait
type	com.kotcrab.vis.ui.building.utilities.layouts.GridTableLayout	sge.visui.building.utilities.layouts.GridTableLayout	Renamed	-		0		companion=yes form=class parents=sge.visui.building.utilities.layouts.ActorLayout primary=(int) primaryKind=unique-root primaryVis=public statics=withRowSize
type	com.kotcrab.vis.ui.building.utilities.layouts.TableLayout	sge.visui.building.utilities.layouts.TableLayout	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum,sge.visui.building.utilities.layouts.ActorLayout primary=() primaryKind=not-funnelled primaryVis=public statics=,convertToTable,grid
type	com.kotcrab.vis.ui.i18n.BundleText	sge.visui.i18n.BundleText	Renamed	-		0		form=trait
type	com.kotcrab.vis.ui.layout.DragPane	sge.visui.layout.DragPane	Renamed	-		0		companion=yes form=class parents=sge.scenes.scene2d.ui.Container primary=(WidgetGroup) primaryKind=unique-root primaryVis=public secondaries=();(boolean) statics=DefaultDragListener,DragPaneListener
type	com.kotcrab.vis.ui.layout.DragPane$DefaultDragListener	sge.visui.layout.DragPane$DefaultDragListener	Renamed	-		0		companion=yes form=class parents=sge.visui.widget.Draggable$DragListener primary=(Policy) primaryKind=unique-root primaryVis=public secondaries=() statics=DRAG_POSITION,DefaultPolicy,Policy
type	com.kotcrab.vis.ui.layout.DragPane$DefaultDragListener$DefaultPolicy	sge.visui.layout.DragPane$DefaultDragListener$DefaultPolicy	Renamed	-		0		companion=yes flags=abstract,sealed form=enum-class parents=java.lang.Enum,sge.visui.layout.DragPane$DefaultDragListener$Policy primary=() primaryKind=not-funnelled primaryVis=public
type	com.kotcrab.vis.ui.layout.DragPane$DefaultDragListener$Policy	sge.visui.layout.DragPane$DefaultDragListener$Policy	Renamed	-		0		form=trait
type	com.kotcrab.vis.ui.layout.DragPane$DragPaneListener	sge.visui.layout.DragPane$DragPaneListener	Renamed	-		0		companion=yes form=trait statics=ACCEPT,AcceptOwnChildren,LimitChildren,REFUSE
type	com.kotcrab.vis.ui.layout.DragPane$DragPaneListener$AcceptOwnChildren	sge.visui.layout.DragPane$DragPaneListener$AcceptOwnChildren	Renamed	-		0		companion=yes form=class parents=sge.visui.layout.DragPane$DragPaneListener primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.layout.DragPane$DragPaneListener$LimitChildren	sge.visui.layout.DragPane$DragPaneListener$LimitChildren	Renamed	-		0		companion=yes form=class parents=sge.visui.layout.DragPane$DragPaneListener primary=(int) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.layout.FloatingGroup	sge.visui.layout.FloatingGroup	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.scenes.scene2d.ui.WidgetGroup primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(float,float)
type	com.kotcrab.vis.ui.layout.FlowGroup	sge.visui.layout.FlowGroup	Renamed	-		0		companion=yes form=class parents=sge.scenes.scene2d.ui.WidgetGroup primary=(boolean,float) primaryKind=unique-root primaryVis=public secondaries=(boolean) statics=DEFAULT_SPACING
type	com.kotcrab.vis.ui.layout.GridGroup	sge.visui.layout.GridGroup	Renamed	-		0		companion=yes form=class parents=sge.scenes.scene2d.ui.WidgetGroup primary=(float,float,float) primaryKind=synthesised-primary primaryVis=protected secondaries=();(float);(float,float)
type	com.kotcrab.vis.ui.layout.HorizontalFlowGroup	sge.visui.layout.HorizontalFlowGroup	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.scenes.scene2d.ui.WidgetGroup primary=(float,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(float)
type	com.kotcrab.vis.ui.layout.VerticalFlowGroup	sge.visui.layout.VerticalFlowGroup	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.scenes.scene2d.ui.WidgetGroup primary=(float,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(float)
type	com.kotcrab.vis.ui.util.ActorUtils	sge.visui.util.ActorUtils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.BorderOwner	sge.visui.util.BorderOwner	Renamed	-		0		form=trait
type	com.kotcrab.vis.ui.util.ColorUtils	sge.visui.util.ColorUtils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.CursorManager	sge.visui.util.CursorManager	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.FloatDigitsOnlyFilter	sge.visui.util.FloatDigitsOnlyFilter	Renamed	-		0		companion=yes form=class parents=sge.visui.util.IntDigitsOnlyFilter primary=(boolean) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.InputValidator	sge.visui.util.InputValidator	Renamed	-		0		form=trait
type	com.kotcrab.vis.ui.util.IntDigitsOnlyFilter	sge.visui.util.IntDigitsOnlyFilter	Renamed	-		0		companion=yes form=class parents=sge.visui.util.NumberDigitsTextFieldFilter primary=(boolean) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.NumberDigitsTextFieldFilter	sge.visui.util.NumberDigitsTextFieldFilter	Renamed	-		0		companion=yes flags=abstract form=class parents=sge.visui.widget.VisTextField$TextFieldFilter primary=(boolean) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.OsUtils	sge.visui.util.OsUtils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.TableUtils	sge.visui.util.TableUtils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.ToastManager	sge.visui.util.ToastManager	Renamed	-		0		companion=yes form=class primary=() primaryKind=not-funnelled primaryVis=public secondaries=(Stage);(Group) statics=UNTIL_CLOSED
type	com.kotcrab.vis.ui.util.Validators	sge.visui.util.Validators	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.Validators$FloatValidator	sge.visui.util.Validators$FloatValidator	Renamed	-		0		form=class parents=sge.visui.util.InputValidator primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.ui.util.Validators$GreaterThanValidator	sge.visui.util.Validators$GreaterThanValidator	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.visui.util.InputValidator primary=(float,boolean,?) primaryKind=synthesised-primary primaryVis=protected secondaries=(float);(float,boolean)
type	com.kotcrab.vis.ui.util.Validators$IntegerValidator	sge.visui.util.Validators$IntegerValidator	Renamed	-		0		form=class parents=sge.visui.util.InputValidator primary=() primaryKind=unique-root primaryVis=public
